高校代码,学校名称,省级地区,主体城市,办学层次,历史招生批次摘要,民办,985,211,双一流,当前状态,参与当前榜单,地图排序参考,软科最新,软科主榜参考,QS最新,THE最新,ARWU最新,校区记录数,县区证据数,可落最低法定边界,录取事实数,最新录取年份,财务事实数,最新财务年份,学校官网
4111010051,北京舞蹈学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.bda.edu.cn
4111010052,中央民族大学,北京市,北京市,本科,,否,是,是,是,现役候选,是,2026软科分类标签 民1,2026软科分类标签 民1,,,,,2,0,是,0,,0,,https://www.muc.edu.cn/
4111010053,中国政法大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科分类标签 政1,2026软科分类标签 政1,,,,,2,0,是,0,,0,,https://www.cupl.edu.cn/
4111010054,华北电力大学,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 84,2026软科主榜 84,,,,,3,0,是,0,,0,,
4111011149,中华女子学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 语14,2026软科分类标签 语14,,,,,2,0,是,0,,0,,https://www.cwu.edu.cn/
4111011232,北京信息科技大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 182,2026软科主榜 182,,,,,6,0,是,0,,0,,https://www.bistu.edu.cn/
4111011413,中国矿业大学（北京）,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 76,2026软科主榜 76,,,,,2,0,是,0,,0,,https://www.cumtb.edu.cn/
4111011414,中国石油大学（北京）,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 62,2026软科主榜 62,,,,,3,0,是,0,,0,,https://www.cup.edu.cn/
4111011415,中国地质大学（北京）,北京市,北京市,本科,,否,否,是,是,现役候选,是,2026软科主榜 75,2026软科主榜 75,,,,,1,0,是,0,,0,,https://www.cugb.edu.cn/
4111011417,北京联合大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科主榜 306,2026软科主榜 306,,,,,1,0,是,0,,0,,https://www.buu.edu.cn/
4111011418,北京城市学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,2026软科主榜 13,2026软科主榜 13,,,,,4,0,是,0,,0,,https://www.bcu.edu.cn/
4111011625,中国青年政治学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,
4111011831,首钢工学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.sgit.edu.cn/
4111012453,中国劳动关系学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 政11,2026软科分类标签 政11,,,,,3,0,是,0,,0,,https://www.culr.edu.cn/
4111013629,首都师范大学科德学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.kdcnu.com
4111013630,北京金融科技学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,2026软科分类标签 财27+,2026软科分类标签 财27+,,,,,1,0,是,0,,0,,https://www.bjbuft.edu.cn/
4111013901,北京邮电大学世纪学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,http://www.ccbupt.cn/
4111013904,北京工业大学耿丹学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,http://www.gengdan.cn/
4111014019,北京警察学院,北京市,北京市,本科,,否,否,否,否,现役候选,是,2026软科分类标签 政18,2026软科分类标签 政18,,,,,1,0,是,0,,0,,https://www.bjpc.edu.cn/
4111014201,北京第二外国语学院中瑞酒店管理学院,北京市,北京市,本科,,是,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.bhi.edu.cn/
4111014430,中国科学院大学,北京市,北京市,本科,,否,否,否,是,现役候选,是,,,,,,,6,0,是,0,,0,,https://www.ucas.edu.cn/
4111014596,中国社会科学院大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.ucass.edu.cn/
4111014139,民政职业大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.bcsa.edu.cn/
4111010858,北京科技职业大学,北京市,北京市,本科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.bpu.edu.cn/
4111010853,北京工业职业技术学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.bgy.edu.cn/
4111010857,北京信息职业技术学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,3,0,是,0,,0,,https://www.bitc.edu.cn
4111011090,北京京北职业技术学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.jbzy.com.cn/
4111011092,北京交通职业技术学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,1,0,是,0,,0,,https://www.jtxy.com.cn/
4111011626,北京青年政治学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,2,0,是,0,,0,,https://www.bjypc.edu.cn/
4111012448,北京农业职业学院,北京市,北京市,专科,,否,否,否,否,现役候选,是,,,,,,,4,0,是,0,,0,,https://www.bvca.edu.cn/
